pid,uid,uname,parent_text,similarity,misinfo_hk,misinfo_dw,comments,comments_hk,final
_1222604928620867586,_1139923023140741120,lev,"just heard a conversation between 2 people that corona is the worst virus ever, no antibiotics can cure it. man idk if I should cry or what",0.924119,0,1,suggests that antibiotics can cure some viruses,"""man idk if I should cry or what""",1
_1235709565251051521,_2226615308,John Hergt,"So, now we are told that if you have a fever and are ill to self quarantine for 14 days. Ok, so if you have a treatable disease you should risk letting it get worse without antibiotics? You are also advised to call a head to the doctor who can’t even tests for #coronavirus 🤔",0.90166736,0,0,,,0
_1221439921312813057,_913039583582986240,Lorena Kraft,"The appropriate antibiotics therapy, similar to the one used against plague pneumonia is effective against #WuhanPneumonia #coronavirus. PLUS tetracycline, the drug of choice for plague prophylaxis, is also effective for #WuhanCoronavirus prophylaxis.",0.8988886,2,2,"A bit unclear, since they aren't necessarily confusing viral vs bacterial pneumonia -- both plague and corona are viral","""antibiotics therapy"" against viral pneumonia. I think that it is wrong",2
_1233507829782323200,_1535172385,Ray Raymond,"Scientists claim antibiotics already on market can treat coronavirus via There probably is a cure for the coronavirus, they just haven't told us about it yet?",0.8983966,1,1,,,1
_1240356874706391055,_2156160070,Evans Cheloti,#JKLIVE Do we have antibiotics for corona? Or the ones who have it are given survival medicines. How long can one live with the virus and how long can a sick person take to recover fully when on antibiotics?,0.89490235,0,0,,,0
_1221440124912713730,_913039583582986240,Lorena Kraft,"The appropriate antibiotics therapy, similar to the one used against plague pneumonia is effective against #WuhanPneumonia #coronavirus. PLUS tetracycline, the drug of choice for plague prophylaxis, is also effective for #WuhanCoronavirus prophylaxis.",0.89188606,2,2,"A bit unclear, since they aren't necessarily confusing viral vs bacterial pneumonia -- both plague and corona are viral","""antibiotics therapy"" against viral pneumonia. I think that it is wrong",2
_1237125285776109573,_185740795,Carmen Chammas 🇱🇧,Can somebody tell us exactly what happens when a corona patient needs to be hospitalized? Is the patient put on antibiotics? How are the lungs treated? Yes we need details please. Anyone?,0.8907711,0,0,,,0
_1238791497845223424,_581068730,Lisa G,"do people who have not taken antibiotics often if at all , throughout their lives have a better chance fighting corona and presenting with less symptoms?",0.89026904,0,0,,,0
_1236435586627428352,_1084872623538855939,Paul Armstrong,When left untreated. Modern antibiotics deal with it just fine. You said it attacks the heart which is false. If coronavirus was attacking peoples hearts the death toll would be higher.,0.8888765,1,1,,,1
_1220318885074931713,_111625315,scoobyjoo,after various tests last year I was diagnosed with coronavirus here in the UK. Overnight in hospital with IV antibiotics and home next day. What’s the fuss? Is it not if you already have medical issues and catch this infection or indeed any infection it can be fatal,0.886665,0,0,,,0
_1225601090810413057,_775064051781074945,Funkhouser,My coronavirus don't want none unless you have antibiotics son,0.8811767,1,1,,,1
_1224758416771637249,_916678702381129728,harriet Kay,"Mr Johnson Who is going to pay for the 40 hospitals u promised to build? Will they be private or NHS hospitals? Be aware that there is NO antibiotic to treat coronavirus, I trained as nurse &amp; am increasingly worried at this Gov esp in regard to health &amp; safety.",0.87730825,0,0,,,0
_1221773521803563013,_865428267464916993,Linda Sullivan,"Question: I know lots of folks in the US (me inc) who have gotten very sick w these symptoms this year. Could the coronavirus be here already? My doc did not test for it, just gave me antibiotics.",0.8758166,0,0,,,0
_1221040270961045506,_1214526919925911552,Woandernik,What kind of antibiotic would work on #wuhanvirus ?,0.87412167,0,0,"A bit unclear, since they are asking a question but suggest antibiotics work against virus",,0
_1224911132969914368,_955883037996265472,#NAME?,It breaks my heart to see asians including USA people who are suffering and dying from coronavirus. Why can they use antibiotics to get rid of them?,0.8732778,0,0,"A bit unclear, since they are asking a question but suggest antibiotics work against virus",,0
_1240142993883107328,_3793952135,Alllyyyy,"I was super sick like a dog about a month ago... it was not the flu nor strep. The tests were negative. I had an awful cough, fever, aches, and I felt like death. The doctors prescribed me antibiotics and it went away. Could it have been #covid19? #idk #justthinking",0.8720403,0,0,"A bit unclear, since they are asking a question but suggest antibiotics work against virus",,0
_1236907045762154497,_1545915336,WHO South-East Asia,"MYTH BUSTERS: Q: Are antibiotics effective in preventing and treating the new #coronavirus? A: No, antibiotics do not work against viruses, only bacteria. 2019-nCoV is a virus, therefore antibioticsshouldn't be used as a means of prevention or treatment. #COVIDー19",0.86857677,0,0,,,0
_1235447939599699968,_907340479867604992,Brett Boggs,You can't keep the American people safe until the CDC has a antibiotic to fight against the #coronavirus and the CDC still has to approve the drug and they said it will take at least a year maybe 2 at the most until it's approved so tell the American people the facts Trump,0.86701965,0,1,,,1
_1233364955283566594,_15438913,Daily Mail Online,Scientists claim antibiotics already on the market could treat coronavirus,0.8627,1,1,,,1
_1233037701374529542,_3363915879,LibertyBea,In the Sixties I read on the Readers Digest the alarm launched by America against the eccess of the use of antibiotics. Is this “corona” some virus self-modified killer made strongest by the useless eccessive use of antibiotics dear CDC?🤔,0.86189973,0,0,,,0
_1221440704905469952,_913039583582986240,Lorena Kraft,"The appropriate antibiotics therapy, similar to the one used against plague pneumonia is effective against #WuhanPneumonia #coronavirus. PLUS tetracycline, the drug of choice for plague prophylaxis, is also effective for #WuhanCoronavirus prophylaxis.",0.86079854,2,2,,,2
_1222836586255175680,_958408514807967751,Tricia Flanagan (R-NJ) For U.S. Senate,"You stated in the corona virus segment with Shannon &amp; Steve that antibiotic-treated meat is contributing to both viral mutation as well as affecting immune system ability to fight viruses, Leslie . That is not correct for the reason I referenced in my 2nd Tweet.",0.8597274,0,0,,,0
_1238391092392984576,_440377679,Tinotenda Samukange,"Confusion has rocked #Zimbabwe on the proposed medical intervention in the event of confirmed coronavirus ,with Health minister Obadiah Moyo insisting on use of antiretroviral drugs, while health director Prosper Chonzi says they have agreed to use antibiotics.",0.8593238,0,0,,,0
