pid,uid,parent_text,misinfo
_1219335239702581248,_1190603787339272197,"#coronavirus I have refused antibiotics for every little sniffle, for over 35 years. I ride every virus out, with the help of 20 Echinaecia drops + 2 x 1000 Vitamin C fizzies combined in half a glass of water, twice daily. Simples, and darned effective!",0
_1220318885074931713,_111625315,after various tests last year I was diagnosed with coronavirus here in the UK. Overnight in hospital with IV antibiotics and home next day. What’s the fuss? Is it not if you already have medical issues and catch this infection or indeed any infection it can be fatal,0
_1221040270961045506,_1214526919925911552,What kind of antibiotic would work on #wuhanvirus ?,0
_1221439921312813057,_913039583582986240,"The appropriate antibiotics therapy, similar to the one used against plague pneumonia is effective against #WuhanPneumonia #coronavirus. PLUS tetracycline, the drug of choice for plague prophylaxis, is also effective for #WuhanCoronavirus prophylaxis.",2
_1221440124912713730,_913039583582986240,"The appropriate antibiotics therapy, similar to the one used against plague pneumonia is effective against #WuhanPneumonia #coronavirus. PLUS tetracycline, the drug of choice for plague prophylaxis, is also effective for #WuhanCoronavirus prophylaxis.",2
_1221440704905469952,_913039583582986240,"The appropriate antibiotics therapy, similar to the one used against plague pneumonia is effective against #WuhanPneumonia #coronavirus. PLUS tetracycline, the drug of choice for plague prophylaxis, is also effective for #WuhanCoronavirus prophylaxis.",2
_1221486505538932737,_1185389845763383297,"it is true that there is no use to spread irrational panic in these tragic tims, but the patient was reported to have symptoms of pneumonia and tolerance to antibiotic treatment, a similar response from confirmed cases of the 2019-nCoV infection",0
_1221773521803563013,_865428267464916993,"Question: I know lots of folks in the US (me inc) who have gotten very sick w these symptoms this year. Could the coronavirus be here already? My doc did not test for it, just gave me antibiotics.",0
_1222343942546440192,_65809038,Did you know that taking antibiotics when you or your child has a virus may do more harm than good? Antibiotics cannot kill viruses 🦠 because viruses have different mechanisms and machinery to survive and replicate. The antibiotic has no “target” to attack in #coronavirus too.,0
_1222604928620867586,_1139923023140741120,"just heard a conversation between 2 people that corona is the worst virus ever, no antibiotics can cure it. man idk if I should cry or what",1
_1222769602951819266,_1035262224321970176,"Last opinion/point #coronavirus is pneumonia based well in 2017 someone in China got a antibiotic resistant strain of not 1 but all 3 of the pnemonia strains in one. if you have a antibiotic resistant bacteria, why not weaponize it... Huh?! #China ?",2
_1222836586255175680,_958408514807967751,"You stated in the corona virus segment with Shannon &amp; Steve that antibiotic-treated meat is contributing to both viral mutation as well as affecting immune system ability to fight viruses, Leslie . That is not correct for the reason I referenced in my 2nd Tweet.",0
_1222914840370413568,_218780765,"Plants don’t pass viruses on to humans. Animals DO. Stop consumption of mass slaughtered animals and stop passing on viruses like #coronavirus, which are so dangerous because all the antibiotics animals are on makes these viruses strong and resistant. Eat plants, save lives.",4
_1224758416771637249,_916678702381129728,"Mr Johnson Who is going to pay for the 40 hospitals u promised to build? Will they be private or NHS hospitals? Be aware that there is NO antibiotic to treat coronavirus, I trained as nurse &amp; am increasingly worried at this Gov esp in regard to health &amp; safety.",0
_1224911132969914368,_955883037996265472,It breaks my heart to see asians including USA people who are suffering and dying from coronavirus. Why can they use antibiotics to get rid of them?,0
_1225448090011873281,_119468781,"With all the concern about #coronavirus and #antibioticresistance, here's a fascinating Microshare case study on the power of IoT to lower a major UK hospital's infection rates. Charles Paumelle explains. #lorawan #smartbuildings #antibioticresistance #iot",0
_1225601090810413057,_775064051781074945,My coronavirus don't want none unless you have antibiotics son,1
_1225703440522698754,_4838520568,"#Wuhan #Coronavirus (#2019nCoV) : Total Infected : 31 510 Deaths : 638 (+73 deaths / day) Recovered : 1 634 Chinese government prefers propaganda and treating with plants instead of antibiotics, Irresponsible #coronarovirus #coronoavirus #coronovirus",1
_1227068632657616896,_995775377275478016,97% of all antibiotics come from China *Dept of commerce study #coronavirus,0
_1230311374464733190,_15719232,“80% or even more of our antibiotics come from #China. So we're going to see some really severe shortages in this country.” discusses the impact of #coronavirus on American Thought Leaders 🇺🇸 Watch:,0
_1231207093266337792,_65172298,"My sister really worried because of 1 of the guest just recently returned from Chongqing, China. She went to different hospital and clinics asking to test niece for #coronavirus. None would do it. Doctor just prescribed some antibiotics. My niece is still not getting better",0
_1231325343308345344,_1075042768437821445,"“For years now, scientists have warned that filthy farms crammed full of sick animals are breeding grounds for new, antibiotic-resistant “superbugs.” #coronavirus #SARSCoV2 #SARSvirus Go #vegan !!",0
_1232074869220745216,_1179127622485368833,The only problem that I saw is that the antibiotic statistic is irrelevant since the coronavirus is a virus. Antibiotics won't help fight a virus.,0
_1232242465513435137,_1228565216301993984,"This 17-day-old #baby girl recovered from #coronavirus without mediation after being born to a confirmed patient in Wuhan, China. She was allowed to go home on Friday after making full recovery by herself. Doctor didn't give her antibiotic medication. #covid19",0
_1232743598010949632,_27188418,"#coronavirusus #CoronaVirusUpdates I’m stocking up on food, disposable gloves, N95 masks, and Purell. And I haven’t been on antibiotics in 35 years so they will be very effective.",3
_1233033351893782529,_2352629311,My legislation will help secure our medical supply chains amid this #coronavirus outbreak. Too many of our vital antibiotics &amp; other drugs are made in #China &amp; facing shortfalls,0
